Question,Answer,Tag
What is a Suit,As per Order IV Rule 1 of CPC Suit is instituted by presentation of a Plaint in Duplicate,civil
What are the contents of a Pleading,A Pleading shall contain only a statement in a concise form and that too only of material facts,civil
Is it necessary to show evidence in Pleadings,"No, Pleadings are not to contain evidence",civil
What are the contents of a Suit,"A Plaint should contain particulars specified in Order VIII, Rule 1 to 8 of CPC. They are:Rule 1 Written statement Rule 2 Suits on lost negotiable instruments Rule 3 Denial to be specific Rule 4 Evasive denial Rule 5 Specific denial Rule 6 Particulars of set-off to be given in written statement Rule 7 Defence or set-off founded upon separate grounds Rule 8 New ground of defence",civil
What are the essentials Particulars of a Plaint,"i. Name of the Court in which the suit is brought;ii. Name , Description and place of residence of plaintiff; iii. The name, description and place of residence of the defendant, so far as they can be ascertained; iv. Where the plaintiff or the defendant is a minor or a person of unsound mind, a statement to that effect; v. The facts constituting the cause of action and where it arose vi. Jurisdiction of court vii. Relief claimed by Plaintiff viii. If Plaintiff relinquished something or set off, details of that ix. Value of subject matter of the suit for the purpose of jurisdiction and of court-fees.",civil
Can all persons be joined as Plaintiff,"Yes, As per Order 1 Rule 1 and 3 of CPC all persons may be joined in one suit as Plaintiff",civil
Can the Court order for separate trial,Yes,civil
Who is necessary Party,Necessary party is without whom no order can be made effectively,civil
Who is proper party,"Proper Party is one whose absence an effective order can be made, but whose presence is necessary for complete and final decision on the question involved in the Proceeding.",civil
When to sue or be sued in representative capacity,"Where there are many persons having same interest in the suit, only one of them or more may sue on behalf of or for the benefit of all others so interested. Permission of the court is required to sue in a representative capacity.",civil
What is the rule regarding claim in a Suit,"Entire claim to be put forth in the Suit. As per order II Rule 2 of CPC once you omit to sue for or intentionally relinquish any portion of claim, you cannot afterwards be allowed to institute suit for the claim omitted or relinquished.",civil
Which are the Subordinate courts deal with the matters,"District JudgeAdditional District Judge Senior Civil Judge-cum-Rent Controller Judge, small Cause Court-cum-additional Senior Civil Judge Administrative Civil Judge cum additional rent controller. Additional Rent Controller Commercial Judge cum Additional Rent Controller Civil Judge",civil
What are the types of Jurisdiction,1. Pecuniary Jurisdiction2. Territorial Jurisdiction 3. Jurisdiction as to subject matter,civil
What is the Pecuniary Jurisdiction of Courts,"Jurisdiction of District Court - Upto Rs. 2 CroreJurisdiction of High Court - Rs. 2 Crore and above Source: The Delhi High Court (Amendment) Bill, 2015",civil
What is Territorial Jurisdiction of Courts,Section 16 of CPC Suits to be instituted where subject matter situateSection 17 of CPC - Suits for immovable property situate within Jurisdiction of different Courts Section 20 of CPC other Suits to be instituted where defendants reside or cause of action arises.,civil
What is Jurisdiction as per subject matter,Designated courts are constituted to deal with such petitions,civil
"What happens when a Court, before whom suit is instituted has no jurisdiction to entertain and try the suit",There is provision to return of plaint to the Plaintiff so that same may be presented before competent court.,civil
How the relief be presented,The relief to be specifically stated,civil
When the Plaint is rejected,- Where the Plaint does not disclose any cause of action- Where the relief claimed in the plaint has been under-valued; and where the same has not been properly valued despite directions given and time allowed by the court - where the Plaint has not been sufficiently stamped - Where the plaint is barred by any law - Where the plaint is not filed in duplicate,civil
What is the remedy available on rejection of Plaint,The Plaintiff can file fresh suit by presenting fresh plaint on the same cause of action.,civil
How to add new Grounds to the Pleading,Through Amendment of pleadings,civil
Can Court extend period for filing amended pleading,"Yes as per Order VI, Rule 18 the court can extend the date.",civil
Is it necessary to institute legal notice before filing suit against the Government,"Yes, before instituting suit against the Government law requires issuance of a legal notice.",civil
How much is the period of notice,2 months,civil
To whom notice is to be served,"1. Secretary of the Central Government;2. General Manager of railway when it relates to railway; 3. Secretary of Government or Collector of the District, in case of State Government",civil
Who can be made a party to the suit,"Necessary Party, Property Party",civil
Who will sign Plaint or Written Statement in case of Suit by or against the Government,Authorized signatory of the Government who is appointed in this behalf by general or special order,civil
When Government to be joined as a party to suit,When a suit is instituted against a public officer for damages or other relief in respect of any act alleged to have been done by him in his official capacity. Order XXVII Rule 5A of CPC.,civil
Who will sign on suit by or against Corporations,"Secretary or Director or other principle officer of the corporation, who is liable to depose to the fact of the case. Order XXIV, Rule 1 CPC",civil
Suits by or against business name,Suit can be filed in the name of firm,civil
In whose name suit against minor is instituted,Against Next friend Order XXXII Rule I.,civil
What happens when minor attains majority,He has to elect whether he will proceed with the suit.,civil
Is Indigent person eligible to institute suit,Yes as per Order XXXIII Rule I suit shall be instituted as an indigent person.,civil
What is the procedure to file suit by indigent person,An application seeking permission from the court to sue as indigent person needs to be filed,civil
When do I have a case?,"If any right of yours is substantially affected, you can take recourse to a court of law to file a suit. For e.g., if you have entered into a contract with my landlord which gives you the right to be a tenant in his apartment for 2 years, and he tries to forcibly throw you out after one year, you can go to court, because your right has been affected. You must have a cause of action, i.e. set of facts that you must prove in court to win a suit.",civil
What is the first step I need to take to file a case?,You need to send a notice to the person/institution that you intend to take to court. Such a notice must contain the details of your complaint.,civil
How does a suit begin?,"Once you have sent a notice, and presumably the other side has sent their response, you will want to present a ‘plaint’ before court. This can be done personally, or through a lawyer. It is a written statement with the facts of your complaint on it. You must write the specific facts down clearly. There is no need for you to put down any proof. You will be called the plaintiff and the other party will be called the defendant. You must serve summons upon the defendant.",civil
Which court do I file the plaint before?,"If related to immovable property (a house or land etc.), you file it in the civil court within whose jurisdiction the property is situated. If it is related to anything else, file it in a court where the defendant lives, or has business ties, or is employed, or where the cause of action arose.",civil
"What next, after the plaint?","The court will then frame issues on the basis of your plaint, and the other side’s reply to that (written statement: more on that later!). Issues are the main points of dispute. For e.g., take the above example of the fight between you and your landlord. Possible issues would be (a) whether you had a valid contract with him (b) whether the terms of the contract were clear about the two year clause (c) whether he had the right to evict you, and so on.",civil
When do I bring in evidence?,"Well, right after issues are framed. The court will take evidence produced by parties which are relevant to the issue. For e.g., your contract document with your landlord would be considered as evidence. Your witnesses, if any, will be examined first, and only then will the defendant’s witnesses be examined.After that, there are arguments presented on both sides, following which the court delivers the final judgement.",civil
Is a lawyer absolutely necessary?,"No, not really! You can appear in court and conduct your own case, if you are confident about it.",civil
What am I to do if someone sends me a notice?,"No worries. You need to send a reply to that particular notice, asserting why you think you did not commit any wrong.",civil
What if they proceeds to file a plaint?,"You then need to reply with a written statement within 30 days of receipt of the summons. Such a statement must deny all the allegations made in the plaint, so that the suit will not be taken up by the court.",civil
How do I summon a witness?,"Within 15 days of issues being framed, you must present a list of all the persons you intend to call as witnesses (for giving evidence, or for producing a document). You must pay to the court the sum of money required to cover the travel expenses etc. of the concerned witness.",civil
What if the witness doesn’t come?,"In such a case, the court can impose a fine of upto 5000 rupees, attach and sell his property, issue a warrant for his arrest(b) attach and sell his property, or order him to furnish security for his appearance and in default commit him to the civil prison.",civil
What is an adjournment and how does it affect me?,"It means postponing proceedings to a later date. It is a matter of the court’s discretion, and is granted only upon there being reasonable grounds for the same. An adjournment will only imply a delay in the matter being heard.",civil
What if the judgment is written without hearing arguments?,"In such a case, it will be considered that there has been a gross irregularity in the proceeding, unless the case is as mentioned in (15) below. The court must hear the party.",civil
"What if I file a suit, and then am unable to turn up?","The court will dismiss your suit in case you are the plaintiff and do not show up for the first hearing. However, in case you can later show that there was some urgent cause which prevented you from turning up, the court will consider an application for restoring the suit.",civil
What if a suit has been filed against me and I don’t show up in court?,"In that case, the court will proceed to give an order against you in your absence (Called an ex-parte order). The burden will later be on you to show that there was some urgent cause that prevented you from appearing, so that the court can hear your arguments, set aside the ex-parte order, and give a fair judgment.",civil
Can a judgment be oral?,"No, it has to be in writing, with the reasons for the decision clearly outlined.",civil
How do I get hold of a copy of a judgment?,They are made available on the payment of whatever charges the respective High Courts prescribe.,civil
How much will it cost me while fighting a case?,"The major official expenses you incur are in court fees, which depend on the value of the suit you want to file. With respect to other expenses, your lawyer’s fees etc. differ from advocate to advocate.",civil
What if I don’t pay court fee?,The court will then have enough grounds to dismiss the suit.,civil
"Once the judge gives a decision, what next?","In case the decision is in your favour, the next step you need to keep in mind is execution.",civil
What’s execution?,It means enforcing the judgment of the court.,civil
How does execution work?,"If the case involves immovable property, and the outcome is where you want property delivered to you, it is achieved by the court staff effecting delivery. If it is related to money, the property of the person who owes you money can be attached, and if he is unable to pay up or does not have property, he can be arrested. If it is a woman, she cannot, however, be arrested. For other remedies, different options such as sale of property, auctions etc. are available depending on the type of case.",civil
How much time will the whole enterprise take?,"Well, that depends entirely on the court! Cases do tend to drag on for a while, and you had better prepare yourself for a lengthy trial",civil
What if one of the parties dies during the suit?,"His legal representative (like, maybe his son, or wife, or husband) must be brought on record, failing which the suit will terminate.",civil
What if I want to withdraw a suit?,"You may do so, but you cannot file a fresh suit on the same matter afterward.",civil
What if I want to compromise on the case?,"You can, by mutual agreement, agree to settle the matter outside court, and reach an agreement. This will have the same effect as a judgment by the court, and the court will make a record of the same.",civil
"What if the court is yet to pass an order, but I am scared that the other party will do something to whatever is the matter of dispute?","In such a case, you can file to get an injunction before the court. This is a process where the court will order the other party to refrain from doing any particular act or thing. This is preventive relief, and may be temporary or permanent.",civil
What if I am dissatisfied with the verdict of the court?,"You have the right to appeal to the higher court, if you are dissatisfied. You can appeal on grounds of fact or law. If there is a ‘substantial question of law’, you can file an appeal to the High Court. In case you are still dissatisfied, you may file for an appeal to the Supreme Court, and the court will allow you appeal if the High Court certifies that there is a substantial question of law involved, or if there is interpretation of the constitution involved, or if the Supreme Court grants special leave to appeal.",civil
Anything else I need to know related to court cases?,"Once a decision has been given, you cannot go back to the court with the same matter. In case the court chooses to dismiss your suit, you cannot take it up again. This principle is called res judicata.",civil
If I have some complaint can I directly approach to the court?,"You may directly approach Presiding officer/Judge of the court to submit your complaint on any working day in the court at the time mentioned on the board titled “ Working hours”. However, your complaint must not be an interference in administration of justice..",civil
What are the basic types of cases?,The cases are primarily classified in two classes viz. Civil and Criminal.,civil
What is a civil case?,The case seeking remedy with reference to the property and other civil rights given under any civil law is said to be civil case.,civil
What is a criminal case?,Criminal case is a case for violation of act prohibited by law for which punishment of impressionment / fine is prescribed.,civil
Can a common man file a case directly without help the of an Advocate?,"Yes, there is no provisions in law through which requires engagement of advocate is compulsory. Person may file or defend any case personally without engaging advocate.",civil
How much amount is estimated to be paid as various type of fees in a court?,"Court fee, Process fee and copying fee are the three main kinds of fee to be paid in courts. Court fee is to be paid under the provisions of Bombay Court Fee Act. For certain matters fixed court fee is required. One may refer Schedule II of the said act to see requirement of fixed court fees. For the purpose of court fee while filing of suits, one has to pay fee as per schedule I of the said Act in which requirement of court fee on the basis of valuation of the matter is given. As regards process fee, it is fee in the form of court fee stamps required to be paid for issuance of various process i.e. Summon,notice, warrant etc. The same is to be paid as per chart given in Civil Manual. Copying fee is the fee required to be paid for getting certified copies of the documents order or judgment. As per instructions contained in chapter XXIX of Civil Manual , copying fee at the rate of Rs.4 per page and Rs.7/- per page is required to be deposited for ordinary and urgent copy respectively.",civil
