Question,Answer,Tag
"What is Consumer Protection Act, 1986 all about?","In 1986, to provide a base for protection of all consumers from any discrimination and also to protect their interests, a social-welfare legislation was enacted called the Consumer Protection Act, 1986. This act provides us with a set of rights and grants us with a procedure through which one can attain justice. This act broadly speaks about the different ways of unfairness against consumers and how consumers can apply for a simple, speedy and inexpensive redressal of consumers’ grievances.",consumer
"What are the objectives of Consumer Protection Act, 1986?","The Consumer Protection Act, 1986 accomplishes to provide a simple, speedy and inexpensive manner of redressal for consumers’ grievances. The Act regards a three-tier quasijudicial mechanism at the national, state and district levels. The main feature of this act is that this act protects consumer rights by providing the consumers with compensatory, preventive and punitive provisions.",consumer
What does the term appropriate laboratory mean?,"Unless otherwise specified, it signifies a laboratory or an organization recognized by the Central Government; State Government subject to guidelines provided by the Central Government or any laboratory that is established by or under any law maintained or financed by the Central Government or State Government for carrying out any tests or analysis.",consumer
Who is a Consumer?,The word Consumer as per the definition given in the Act indicates towards any person who buys any good or avails any service for consideration (monetary value). The definition of a consumer is not confined to being a direct purchaser but also includes any other person who buys goods for consideration when such use is made with the approval of the buyer. The consideration if paid or partly paid still approves the payer to be a consumer.,consumer
Who is a manufacturer?,The one who makes or manufactures any good or assembles the parts of the goods or puts his own mark on the good is known as a manufacturer.,consumer
What is the difference between defect and deficiency?,"Defect generally stands for any imperfection or fault or shortcoming in the quality, quantity, potency, purity or standard to be maintained by or under the law for the time being whereas deficiency means any fault or shortcoming in the quality, nature and manner of performance which is required to be maintained by or under the law for the time being.",consumer
When can one avail protection under the Consumer Protection Act?,"a. If the goods purchased by a consumer suffer from defect(s). 
b. If the services availed of by a consumer suffer from any deficiency. 
c. When the price paid by a consumer is in excess of the price displayed on the goods or when the price is in excess of the price fixed under any law in force. 
d. Goods, which will be hazardous to life and safety, when used, are being offered for sale to the public in contravention of the provisions of any law. 
e. An unfair or restrictive trade practice adopted by any trader or service provider.",consumer
What are the reliefs that a consumer can obtain?,"a. to remove the defects in the goods pointed out
b. to replace the goods
c. to return to the complainant the price of the goods 
d. to pay such amount of compensation for the loss or injury suffered by the consumer
e. to remove the defects or deficiency in the services
f. to discontinue the unfair trade practice or not to repeat it 
g. to withdraw the hazardous goods from being offered for sale 
h. to provide the cost of expenditure incurred by the complainant. ",consumer
How do the Consumer Protection proceedings work?,"For the purpose of promoting and protecting interests of the consumer, the Consumer Protection Act, 1986 provides for several quasi-judicial bodies under a three-tier approach, namely the District Forum, The State Commission and The National Commission. These bodies are not the same as the normal civil courts as they constitute separate bodies giving remedies only related to consumer protection. Although they work on a similar basis observing the same principles of natural justice, are empowered enough to grant relief and whenever possible, impose penalties for not adhering to the orders of these bodies.",consumer
What are the procedures followed to file a complaint?,"Before filing a complaint, a Legal Notice is to be served by any authorized lawyer on behalf of the client, or by the client himself to the opposite party, explicitly giving them the last opportunity to settle the matter before it reaches the court. Further, it communicates the intention of the complainant in clear terms to the opposite party and acts as a legal warning stating that if the matter is not resolved and the grievances of the consumer are not addressed within a specified period of time, the consumer would have no option other than moving proceedings before the consumer courts.",consumer
"Can a minor file a suit under Consumer Protection Act, 1986?",Minor’s legal guardian or parents can file a case on behalf of him.,consumer
What is the time frame within which a complaint can be filed?,Section 24A of the Act provides that a consumer dispute can be filed within two years from the date on which the cause of action arises.,consumer
Are lawyers to be appointed to fight a suit filed in a Consumer Forum?,A person can represent himself in Consumer Courts. This is one reason why Consumer cases are not as expensive as other civil cases.,consumer
What is the functioning of District Forum?,"Jurisdiction is of two types in District Forums - Pecuniary Jurisdiction and Territorial Jurisdiction. The monetary features or the financial value of claims for the goods and/or services are dealt under the Pecuniary Jurisdiction of all courts. As for territorial jurisdiction, the district forum can hear matters where the opposite parties at the time of the complaint carry on business, reside, personally work for profit, or operate branches within the same geographical locations as that of the forum, or the area where the cause of action arises.  ",consumer
What is the functioning of State Forum?,"Three types of jurisdictions are dealt with in theses forums; pecuniary jurisdiction, territorial jurisdiction and appellate jurisdiction. The State Commission must redress all grievances with claims amounting to more than Rs. 20,00,000/- (20 lakhs) and up to Rs. 1,00,00,000 (one crore) as per pecuniary jurisdiction,. In a similar manner as District Forums, the State Commission exercises territorial jurisdiction within its local limits, where the complaint must be filed against the opposite parties or any of them who reside, carry on businesses directly or through branches, work for personal gain within those limits, or where the cause of action arises. The State Commission also has appellate jurisdiction to handle appeals from lower courts.",consumer
What is the functioning of National Commission?,"The National Commission, known as the National Consumer Disputes Redressal Commission, was established in 1988 under Sec. 9 of the act, by the Central Government. The Pecuniary jurisdiction of the National Commission covers all complaints with claims exceeding the value of Rs. 1,00,00,000 (One crore). The commission has the appellate jurisdiction to entertain all appeals against the orders of the State Commission, and the revisional jurisdiction to look into matters of the State Commission on its own motion if it feels that the latter has illegally, irregularly or simply failed to exercise the vested jurisdiction (Sec. 21 and 22B). Sec. 23 allows a party aggrieved by the orders of the National Commission to appeal against such an order to the Supreme Court within a period of 30 days from the passing of the order.",consumer
Whom should the consumers approach for help?,"If consumers are unsatisfied with the service provided to them or the product that they have purchased, they may approach the seller first and try to resolve it with the seller. If the seller is a company or organization, they will have their own internal mechanism, and consumers may get a quicker remedy. If, however, consumers are not satisfied with their response, they can choose to approach the Consumer Court.",consumer
What is the procedure for the initiation of judicial proceedings and how much fee is to be paid?,"Consumers can file complaints at District Forum, State Commission or National Commission. The suitable forum is decided on the basis of the value of the goods and/or services and the compensation claimed.",consumer
