Question,Answer,Tag
What is a Complaint,"As per Section 2(d) in The Code Of Criminal Procedure, 1973 "" complaint"" means any allegation made orally or in writing to a Magistrate, with a view to his taking action under this Code, that some person, whether known or unknown, has committed an offence, but does not include a police report.",criminal
What is a Police Report,"As per Section 2(r) in The Code Of Criminal Procedure, 1973 ""police report"" means a report forwarded by a police officer to Magistrate under sub- section (2) of section 173",criminal
How to inform Police about commission of a Cognizable offence,"If you are a victim of a crime or you have knowledge about a crime you may inform the policy orally or in writing. In case you inform the police orally, the information has to be reduced into writing by the Police.",criminal
"How to Complain to the Police, Written or Verbal",Generally in every police station there is a Police officer to record FIR. The informant may narrate the incident to the police or give a written complaint.,criminal
"Police is reluctant to record FIR, What to do?",Option in such situation is: 1. Send the complaint to the senior officer. When Police refuses to register FIR; 2. File complaint before Chief Metropolitan Magistrate or Chief Judicial Magistrate. The Magistrate may order investigation by the Police. Ref: Section 156(3) CrPC and Section 202 CrPC. 3. Write Petition before the High Court where police refuse to register case.,criminal
What is the step after taking cognizance of offence by the Police,The matter will be referred to Police under section 202(1) of CrPC.,criminal
What are the differences between Powers under Section 156(3) and 202(1) of CrPC.,Power under Section 156(3) is exercised at the stage of pre cognizance and Power under Section 202(1) CrPC exercised post cognizance of offence.,criminal
What is the remedy available to complaint against dismissal of application under Section 156(3) CrPC,Filing Revision Petition with the Court,criminal
What is the remedy available for the accused to challenge direction issued to Police to Register FIR against him.,"The Accused has right of being heard until the process is being issued by the Court against him. The accused has no right to challenge the order passed on application under Section 156(3) of CrPC. In Gautam R. Patel V. Government of NCT of Delhi, 2007(1) JCC 448, Hon'ble Delhi High Court observed that the appropriate remedy for the petitioner was to file a revision under CrPC 397 against the order of the Magistrate directing registration of FIR in case he has any grievance against the said order.",criminal
What is the evidentiary value of FIR,"First Information Report as such is not substantive evidence. But it may be used to corroborate the informant, under Section 157 of the Evidence Act, or to contradict him, under Section 145 of the Act, if the information called as witness. Sometimes, accused himself goes to the Police Station and gets FIR registered. In such a case, the fact of his giving the information is admissible against him as evidence of his conduct under section 8 of the Evidence Act.",criminal
What is substantive Evidence,"Where after making statement leading to registering of FIR or after getting the FIR registered, the victim succumbs to injuries, same can be treated as dying declaration. Hence, it would be admissible under section 32(1) of the Evidence Act.",criminal
What is a Cancellation Report,It is the report submitted by the Police before the court for cancellation of the case on the ground that no offence appears to have been committed. In such situation the complainant has to be informed by the Police.,criminal
What is the option for the Court when cancellation report is submitted by the Police,"The court may either accept the cancellation report or send the case for further investigation by other agency or investigating officer, if so desired in the given facts and circumstances. The Court has another option to proceed against the accused where the court finds sufficient evidence from the material collected by the police.",criminal
What are the options to the Magistrate when Report under 173 CrPC is filed.,In such situation the Magistrate has 3 options:1. The Magistrate may either accept the report and take cognizance of the offence and issue process. 2. The Magistrate may disagree with the report and drop the proceedings. 3. The Magistrate may direct the investigation agency to further re-investigate the matter.,criminal
Is Magistrate bound to accept report under Section 173 CrPC,No,criminal
