Question,Answer,Tag
What is Domestic Violence,"As per Section 3 of the Protection of Women from Domestic Violence Act, 2005 Domestic Violence means:(i) an act; or (ii) omission; or (iii) commission; or (iv) conduct For the purposes of this Act, any act, omission or commission or conduct of the respondent shall constitute domestic violence in case it-: (a) harms or injures or endangers the health, safety, life, limb or well‑being, whether mental or physical, of the aggrieved person or tends to do so and includes causing physical abuse, sexual abuse, verbal and emotional abuse and economic abuse; or (b) harasses, harms, injures or endangers the aggrieved person with a view to coerce her or any other person related to her to meet any unlawful demand for any dowry or other property or valuable security; or (c) has the effect of threatening the aggrieved person or any person related to her by any conduct mentioned in clause (a) or clause (b); or (d) otherwise injures or causes harm, whether physical or mental, to the aggrieved person",domestic
What are the type of abuse in domestic violence,"Beating, slapping, hitting, biting, kicking, punching, pushing, shoving, or causing bodily pain or injury in any other matter",domestic
What is sexual abuse,"When anyone by one's conduct of sexual nature abuses, humiliates, degrades or otherwise violates the dignity of any woman, including one's wife, such person would be liable for domestic violence.",domestic
What is verbal and emotional abuse,"When a person insults, ridicules, humiliates or name calls his wife or other women related to him in the manner indicated above, such person would be liable for domestic violence.",domestic
What is economic abuse,"When anyone deprives his wife or woman of all or any economic or financial resources to which she is entitled or which she requires out of necessity, such person becomes liable for domestic violence.",domestic
How to seek relief in Domestic violence case,As per Section 4 of the Act the aggrieved person may give information to the Protection Officer.,domestic
Who is Protection officer,Protection officer is an officer appointed by the State Government in each district.,domestic
How to get relief,Apply for orders under Section 12 of the Act.,domestic
How to apply for orders or relief under Section 27,Application for Protection order or any other relief available under the Act is to be filed in the court of JM First Class or MM.,domestic
What are the relief available,1. Protection Order2. Order for monetary relief 3. Custody order for child 4. Residence Order 5. Compensation Order 6. Any other order than the above,domestic
What are the steps to be taken by the Protection Officer or Service Provider,In case of physical attack medical examination or medical facility or aid should be provided,domestic
Where to submit medical report,The Protection officer should submit it with concerned Magistrate and concerned Police Station.,domestic
What is the procedure followed in Court,"As per Section 13 of the Act a notice of the date of hearing fixed under section 12 shall be given by the Magistrate to the Protection Officer, who shall get it served by such means as may be prescribed on the respondent, and on any other person, as directed by the Magistrate within a maximum period of two days or such further reasonable time as may be allowed by the Magistrate from the date of its receipt.The Protection officer is to make report about service of notice",domestic
What is the maximum period for disposal of the application,The Magistrate is to dispose of the application within 60 days of the date of first hearing,domestic
What are the procedures to be followed by the Magistrate,"As per Section 28 of the Act (1) Save as otherwise provided in this Act, all proceedings under sections 12, 18, 19, 20, 21, 22 and 23 and offences under section 31 shall be governed by the provisions of the Code of Criminal Procedure, 1973 (2 of 1974).(2) Nothing in sub-section (1) shall prevent the court from laying down its own procedure for disposal of an application under section 12 or under sub-section (2) of section 23. If necessary the Magistrate can conduct proceedings in camera.",domestic
What is the provision for counseling,"As per Section 14 of the Act (1) The Magistrate may, at any stage of the proceedings under this Act, direct the respondent or the aggrieved person, either singly or jointly, to undergo counseling with any member of a service provider who possess such qualifications and experience in counseling as may be prescribed. (2) Where the Magistrate has issued any direction under sub‑section (1), he shall fix the next date of hearing of the case within a period not exceeding two months.",domestic
What are facts considered before passing any order,"If there is any report regarding the incident, the Magistrate may take into consideration. Protection officer or Service provider may submit report.",domestic
