Question,Answer,Tag
Can you get legally fired over a text message in India?,"Yes, you can get legally fired over a text message in India. However, it is not the most appropriate way to fire an employee. Mere fact that you were fired with just a text message does not give you a right to move to the Court questioning the illegality of the procedure. However, the conditions as to legal notice period in employment cases or payment in lieu of notice period (pay the amount equivalent to what he would have earned had he been served a notice period if notice period is not served.) ",employment
What can I do if I have not received gratuity yet?,"Yes, you can file a case under Payment of Gratuity Act in the case of non-payment of gratuity in employment sector with the help of best civil litigation lawyers in India. The rule stipulates that in case of death of the employee, the rule of 5 year service is not mandatory and the payment will be made to the nominee. In cases, where no nominee is mentioned, it is made to the legal heir. In case, there existed a clause in the employment agreement, it is advised to look through the same once.
Gratuity is a retirement benefit paid as gratitude to the employees who have rendered a continuous service for at least five years to incentivize them so that they continue working efficiently. It is an amount paid to an employee based on the duration of his total service but an employee becomes eligible only after he has completed 5 years of his service. Gratuity is paid to an employee when he either retires or his employment is terminated or he resigns or upon his death. Gratuity is given the force of law by the Payment of Gratuity Act 1972, which is further administered and enforced by the Central Government and the designated establishments under its control.
The Payment of Gratuity Act, 1972 is applicable to every factory, mine, oilfield, plantation, port and railway company. An employee who has rendered at least five years of service becomes entitled to the said benefit. The prerequisite of completion of continuous service of five years shall not be necessary where the termination of the employment of any employee is due to death or disablement to the extent that the person is literally unable to provide the required services.
In the case of death of the employee, gratuity payable to him shall be paid to his nominee or, if no nomination has been made, to his heirs, and where any such nominee or heir is a minor, the share of such minor, shall be deposited with the controlling authority who shall invest the same for the benefit of such minor in such bank or other financial institution, as may be prescribed, until such minor attains majority. ",employment
Many employees in my office were hastily laid off. Can we file a case against the employer?,"If many employees in your office including you, were hastily laid off you can file a suit in a Court of competent jurisdiction with the help of expert labour and service lawyers in India in just a few clicks. Further, your employment should be secure with an employment agreement. If you were compensated or paid in lieu of that notice period, you cannot file a suit in any Court.
Reference can be drawn to the time when Snapdeal laid off 80% of its employees on merger with Flipkart, and employees were left to their own with no remedy in hand. ",employment
What is the timeline for deciding cases by any labour court?,"All cases with the Labour Court must be decided within the time frame of 3 months. However, if the Labour Commissioner considers it important in the interests of justice or there is a change in circumstances of the case or it is expedient to do so, he may extend the time beyond 3 months with reasonable cause and specified extension of time. The Employment and Labour laws in India are silent as to how long the extension may persist. ",employment
Can my employer terminate my employment without giving a notice period?,"The employer cannot terminate your job without giving you a proper legal notice period. However, if he decides to do so, he has to either pay him in lieu of that notice period which means that he has to pay the employer the salary equivalent to that he would have received had he served his notice period. If the employer fails to do both, you can file a civil suit against him with the help of best employment and labour advocates in India. Â 
If you had signed an employment agreement, your employer cannot terminate your employment without giving you a notice period as per the conditions of the agreement. In case he decides to do it, two situations may arise. First, he may ask for your consent. In such conditions you can reach to a conclusion with him on negotiated terms in regards to the salary, termination and other aspects. Secondly, he may terminate your job without asking for your consent, in such conditions you can file a civil suit with the help of top labour lawyers online. Any other situation may also arise depending upon the nature of your employment agreement. Thus, it is advisable to always get a properly drafted employment agreement.
If you did not sign an employment agreement, the employer has to either give you notice or payment in lieu of that notice. This is money equivalent to the salary that the employee would have earned during the required notice period. ",employment
"My employer sexually harasses me, what can I do to stop this sexual harassment at workplace?","Sexual Harassment in workplace is a punishable offence. You can complaint to the Internal Complaints Committee in your office. However, if they try to subdue you or refuse to take your case forward, you can approach an NGO working in the field of extending protection to women who are victims of sexual harassment or even lodge a criminal case against the person under the provisions of Indian Penal Code with the help of best criminal lawyers in India.
You can also file a case against your Company if they do not have an Internal Complaints Committee or refuse to take your case. A penalty will be imposed on them as a consequence. One should never remain silent about any sexual advances which are inappropriate and should immediately report them. ",employment
What are the maternity benefits that I can get in my Company?,"You can claim various maternity benefits in your office. Women employees in India are provided with a special benefit during and after their pregnancy, known as the maternity benefit. Maternity benefit in India is provided in form of 'fully paid' leaves to pregnant and lactating women to take care of themselves and their child. In case you are denied any of these benefits you can consult expert labour lawyers online.
The maternity benefits available to you are:
Increased duration of leave: The duration has been increased from 12 weeks to 26 weeks and can be availed 8 weeks prior to the delivery of child and 18 weeks after that.
Option to Work from home: The new rules give the option to women to work from home, as agreed or negotiated with the employer on the expiry of 26 weeks maternity leave.
Paid maternity leaves: Maternity leaves are fully paid, to ensure that you do not face any financial issue at the most crucial time of your life.
Benefit to adoptive and commissioning mothers: The benefit has been extended to the adopting mothers as well, who were otherwise kept on a backseat in regards to this benefit. They are now entitled to a 12 weeks maternity leave.
CrÃ¨che facility to be provided by employer: It is compulsory for an employer having more than 50 employees to provide for a crÃ¨che facility in office and to allow the woman to visit her child 4 times a day.
 ",employment
Can I take any legal action if my job is illegally or wrongfully terminated?,"Yes, you can take a legal action with the help of best employment attorneys in India if you have been illegally terminated only if you had an employment agreement. In absence of any such document, your employment is presumed to be employment at will and you can be fired for any random reason. Thus, it is advised to always sign an employment agreement. You can now get DIY employment agreement online in just a few clicks.
The term ""wrongful termination"" means that an employer has fired or laid off an employee for illegal reasons in the eyes of the law. Illegal reasons for termination include:
Firing in violation of federal and state anti-discrimination laws
Firing as a form of sexual harassment
Firing in violation of oral and written employment agreements
Firing in violation of labor laws, including collective bargaining laws and
Firing in retaliation for the employee's having filed a complaint or claim against the employer.
For, any further information, you can find best lawyers online. ",employment
Is it compulsory for me to sign an employment agreement before starting my job?,"It is advisable that you sign an employment agreement in India before starting your job. A written document that states the provisions relating to employment of a person creates a sense of trust between the hired individual and the company. A carefully worded employment document not only limits the liability of the company but also cements the relationship between the employer and employee. Get your DIY employment agreement in just a click.
An employment agreement also acts as an important piece of evidence in case there is any conflict between the company and its employee. The agreement acts as the source of legalities to which both of them are bound and prevents any discrepancy or rebuttal to the decided upon terms in case the company or employee violates the agreement in near future. ",employment
What can I do if my employer does not pay my salary in India?,"If your employer is not paying you salary, you can get these legal remedies:
Approach Labour Commission: In cases of unpaid salary, an employee can approach the labour commissioner with the help of best labour lawyers in India who tries to reconcile the matter. In the event of failure to reconcile, case can be handed over to the Court of competent jurisdiction.
Approach Court under Industrial Dispute Act: An employee can file a suit under Section 33(c) of Industrial Dispute Act, 1947 for recovery of money due from an employer. Either the employee or any person authorized by him or his legal heir (in the event of his death) can claim to recover money on his behalf. The amount of money due or basis of computation of benefit is done according to provisions of the Act.
Approach the Authority under Payment of Wages Act: You can file a case with the competent Authority under this Act, in the event of unpaid salaries or insufficient wages with the help of experienced employment lawyers in India.
Â  ",employment
