Question,Answer,Tag
What is age limit for senior citizen to get maintenance as per the Act,"As per Section 5 of the Act Senior citizen who has attained 60 years is entitled for maintenance, if he is unable to maintain himself.",family
What is the application of Maintenance of Parents and Senior citizens Act for maintenance to parents,Parent who is unable to maintain himself from his own earning or out of property owned by him or her is entitled for maintenance as per Section 5 of the Act. As per section 2(3) of the Act father or mother whether biological or adoptive is entitled for maintenance.,family
What is the meaning of property in the Act,"As per Section 2(f) of the Act property means property of any kind, whether movable or immovable, ancestral or self acquired, tangible or intangible and includes rights or interests in such property.",family
What is the meaning of Maintenance,"Maintenance includes provision for food, clothing, residents and medical attendance for normal treatment.",family
What is the meaning of welfare in the Act,"Welfare includes provision for food, clothing, residence and medical attendance and treatment.",family
How to file application for maintenance,Parent or grand parent are entitled to file application for maintenance against one or more of his children. A childless senior citizen is entitled to file application for maintenance against any relative.,family
Can expenses be claimed,Under this Act senior citizen or parent is entitled to claim expenses for the proceedings also.,family
What is the extend of liability of children or relative to maintain senior citizens,Maintenance to lead a normal life must be provided. In case of more than one relative proportionate amount of maintenance is payable,family
What is the liability of children for maintenance of parent,Children are liable to give maintenance to father or mother to lead a normal life.,family
Where to file the Application for grant of maintenance to Senior Citizens,As per Section 7 of the Act application should be filed with the Tribunal,family
Whether tribunal has the power of court,"Yes, Tribunal shall have all powers of a Civil Court for the purpose of taking evidence on oath. Tribunal also has the power to secure presence of witnesses and compelling discovery and production of documents and material objects.",family
What is the Jurisdiction to file application,Application for maintenance can be filed against any children or relative in any district:- Where the applicant resides or last resided or - Where children or relative resides,family
Who can file application,Application may be filed by: Senior Citizen or Parentor any other person or organization authorised by the applicant,family
Can the Tribunal suo motu take cognizance,"Yes, the Tribunal can Suo Motu take cognizance of the matter regarding grant of maintenance",family
Whether notice issues to the children,"Yes, as and when the application is filed, its notice is to be issued to the children or relative against whom application has been filed.",family
How Reference are made,"Before hearing the application, Tribunal may refer the same to the conciliation officer.",family
How to dispose of the application,"Parties will be heard, tribunal will hold and enquiry.",family
Is legal representation allowed,No party to the proceedings under this act shall be represented by a legal person. Parties may send authorised persons.,family
What is the maximum period for disposal,90 days from the date of notice served upon the parties. This may extend once for a maximum period of 30 days,family
Is Interim maintenance allowed,Tribunal is empowered to direct for interim maintenance,family
How order of maintenance is issued,"When the tribunal is satisfied that the applicant is unable to maintain himself and the children or relative neglect to maintain, the Tribunal may pass order for maintenance.",family
What is the maximum amount of maintenance,As per Section 9 of the Act maximum maintenance amount is Rs. 10000/- per month. But the state government may prescribe amount in this regard.,family
Can interest be claimed on pending amount,As per Section 14 of the Act interest not less than 5% or not more than 18% can be claimed.,family
If the respondent dies after passing the order what happens,As per subsection 6 of Section 5 death of one respondent does not affect the liability of others,family
When maintenance starts,As per Section 5(7) it starts from the date of order or the date prescribed by Tribunal,family
What if the amount is not paid,The defaulter may be sentenced for one month or till the amount is paid,family
What is the due date to pay maintenance,Within 30 days of the date of announcing order,family
Is alteration or cancellation of maintenance order allowed,Alteration may make on proof of:- Misrepresentation of fact - Mistake of facts - Change in circumstance of person receiving monthly allowance - Having reward to any decision of competent civil court as per Section 10,family
How to enforce order of maintenance,As per section 11 the order can be enforced through the tribunal which passed the order,family
What is the time limit to file appeal,Appeal can be filed with appellate tribunal within 60 days. In specific circumstances the appellate tribunal may entertain appeal even after this period of 60 days.,family
Is legal practitioner allowed in hearing of appeal,No legal practitioner is allowed in hearing of appeal,family
Is paying maintenance is mandatory when appeal is filed,"Yes, it is mandatory when no stay is granted",family
Is civil court has Jurisdiction to deal with the matter,No Civil court have jurisdiction with respect to any matter to which provision of this Act applies.,family
What are the offences and punishment,As per Section 24 of the Act if a senior citizen is abandoned the responsible person is liable to be sentenced to imprisonment for a period which may extended to 3 months or fine of Rs. 5000 or with both.,family
Is the offence is bailable,"Yes Refer, Section 24 to 26",family
When transfer of property is void,"When senior citizen or parents transfer their property to children or relative with the hope or on assurance that children or relative shall take care of the senior citizen or parents, but their care is not taken at all.",family
What is the procedure to declare transfer of property to be void,Application should be filed under Section 23 of the Act.,family
What laws govern marriage in India?,"Special personal laws based on the person’s religion govern laws concerning marriage and divorce for such persons. However, a couple may choose to opt out of this system by registering their marriage under the Special Marriage Act which is a secular legislation.",family
What is the minimum age requirement for people to get married in India?,"According to Section 5 (iii) of the Hindu Marriage Act, the bridegroom (boy) has to complete 21 years of age and the bride (girl) 18 years of age. ",family
Is the consent of parents legally required for a valid marriage?,The consent of parents is not necessary for a legally valid marriage. It is the consent of the marrying parties that is necessary and such consent needs to be free and voluntary. ,family
What happens in the cases of child marriages? Can the bride and groom later avoid it?,"If a child below the legal age is married off by her parents, upon becoming an adult. The child must file a petition before the court to declare the marriage null and void, within two years of reaching the legal age of consent – the girl can file a petition till she becomes 20 years of age and a boy till he turns 23 years of age.",family
Can a person marry twice?,"No, for all religions except Muslims, a man or a woman may marry only once. If they marry a second time, it is known as bigamy. Only a Muslim man may have four wives.",family
What are the consequences of a bigamous marriage?,"Any second marriage is void if at the date of such marriage either party had a husband or wife living. It is also punishable under section 494 & 495 of the Indian Penal Code. Section 494 prescribes for imprisonment, which may extend to 7 years and fine.",family
Who can marry under Hindu Marriage Act?,"Any person who is a Hindu by religion, including a Virashaiva, a Lingayat or a follower of the Brahmo, Prarthana or Arya Samaj or any person who is a Buddhist, Jaina or Sikh by religion, and any other person domiciled in the territories to which this Act extends who is not a Muslim, Christian, Parsi or Jew by religion can marry under the Hindu Marriage Act.",family
Can people of different castes (but both Hindus) marry under Hindu Act?,"Yes, they can. No specific requirements are required to be fulfilled if the marriage is an inter-caste marriage.",family
