Question,Answer,Tag
Who is a juvenile or child?,A person who has not completed 18 years i.e. is not 18 years old.,juvenile
"What if a person is 17 years and 11 months old or just has a few days left to turn 18 years old, will he still be considered a child?","Yes, till the day the person completes his eighteenth year of age, he will be considered as a child",juvenile
"What if the child displays maturity and understanding of an adult, will he still be treated as a child?",The law does not consider emotional maturity of the child while determining the application of this the JJ Act.,juvenile
Who is a child in need of care and protection?,"A child, who does not have a home or parent/guardian or is being abused/exploited/ tortured or is likely to be abused for unconscionable gains, is a child in need of care and protection.",juvenile
Who is a juvenile in conflict with law?,"A person, under 18 years, who is alleged to have committed an offence.",juvenile
What happens to juvenile conflict with law?,"When a complaint is filed against a juvenile, he is apprehended by the police. His parents/guardians are informed. The child is placed under special juvenile police unit. The matter is immediately reported to the Juvenile Justice Board, which later inquiry and passes appropriate order.
",juvenile
Is a juvenile delinquent arrested and put behind bars?,No the Juvenile is not put behind bars. He is taken to the police station and is handed over to the special juvenile unit. Further for the duration of the trial he may be sent to an observation home or released on bail.,juvenile
What about the parents being informed about the childâ€™s actions?,"Under Section 13, the parents are to be informed as soon as or after the arrest is made. So it is the duty of the police officer of the police station to ensure that the information reaches the parents.",juvenile
What if the child has no parents or guardians?,"In cases where the child does not have parents or guardians under Section 8 of the JJ Act, he is sent to an observation home.",juvenile
Are juvenile justice proceedings same as any other criminal proceedings?,"No, the proceedings under the JJ Act are before the Juvenile Justice Board. The board is constituted as per provisions laid down in Section 4 of the JJ Act, it consists of a Magistrate and two social workers. The core idea behind juvenile justice proceedings is not punish the child rather reform him.",juvenile
Can a juvenile in conflict with law be granted bail?,"Under Section 12 of the JJ Act, while the proceedings are underway, a bail application can be made and it would be then considered by the Juvenile board.",juvenile
What if the juvenile in conflict with law is unable to get the money or surety for the bail?,"Under Section 12, availability of a surety is not compulsory. Bail maybe granted without it.",juvenile
What are observation homes?,"As per Section 8 of the Juvenile Justice Act, 2000, observation homes are established and maintained by the State government. These act as temporary reception homes for juveniles in conflict with law.",juvenile
What are special homes?,"As per Section 9 of the JJ Act, 2000, special homes are established and maintained by the State governments. They act as homes for reception and rehabilitation of juveniles in conflict with law. These homes aim at reforming and re-socializing juveniles in conflict with law.",juvenile
What about segregating boys and girls at such homes?,"At observation homes and special homes, there is segregation among children on the basis of age, gender, nature of offences committed and physical and mental status.",juvenile
How are proceedings conducted under the JJ Act?,Section 5 lays outlines the procedure before the Juvenile Justice board. Once the case is placed before the Juvenile justice Board an enquiry is conducted. The board has to complete the inquiry within a period of four months from the date of commencement of proceedings. During the enquiry the board may grant bail and later dispose the matter as it sees fit.,juvenile
What orders maybe passed by the Juvenile Justice board?,"If the board finds that the juvenile has in fact committed the offence, then the court may if it deems fit, pass the following orders outlined in Section 15 :                                                                                          (a) Allow the juvenile to go home after advice or admonition following appropriate inquiry against and counseling to the parent or the guardian and the juvenile;
(b) Direct the juvenile to participate in group counseling and similar activities;                                                                                               (c) Order the juvenile to perform community service;
(d) Order the parent of the juvenile or the juvenile himself to pay a fine, if he is over fourteen years of age and earns money;
(e) direct the juvenile to be released on probation of good conduct and placed under the care of any parent, guardian or other fit person.       (f) direct the juvenile to be released on probation of good conduct and placed under the care of any fit institution for the good behaviour and well-being of the juvenile for any period not exceeding three years;
(g) Make an order directing the juvenile to be sent to a special home,-
i. in the case of juvenile, over seventeen years but less than eighteen years of age for a period of not less than two years;
ii. in case of any other juvenile for the period until he ceases to be a juvenile
Provided that the Board thinks fit, while considering various factors and reasons which are to be recorded. It can reduce the period of stay to such period as it thinks fit",juvenile
Will the details of a juvenile involved in proceedings be published? This will certainly harm the childâ€™s future prospects?,"Under Section 20 of the JJ Act, the law clearly prohibits the publication of name and other details of a juvenile in conflict with law. It is punishable with fine up to one thousand rupees. Unless the authority conducting the enquiry, i.e. the Juvenile justice board, allows such publication for the benefit of the juvenile.",juvenile
