Question,Answer,Tag
What is the necessity for insurance against 3rd Party risk,"As per Section 146 of the Motor Vehicles Amendment Act 2019 (1) No person shall use, except as a passenger, or cause or allow any other person to use, a motor vehicle in a public place, unless there is in force, in relation to the use of the vehicle by that person or that other person, as the case may be, a policy of insurance complying with the requirements of this Chapter: Provided that in the case of a vehicle carrying, or meant to carry, dangerous or hazardous goods, there shall also be a policy of insurance under the Public Liability Insurance Act, 1991.",vehicle
What are the rights of insurer against 3rd party or insurer,"As per Section 151 (1) Where under any contract of insurance affected in accordance with the provisions of this Chapter, a person is insured against liabilities which he may incur to third party, then- (a) in the event of the person becoming insolvent or making a composition or arrangement with his creditors; or (b) where the insured person is a company, in the event of a winding-up order being made or a resolution for a voluntary winding-up being passed with respect to the company or of a receiver or manager of the company's business or undertaking being duly appointed, or of possession being taken by or on behalf of the holders of any debentures secured by a floating charge of any property comprised in or subject to the charge, if, either before or after that event, any such liability is incurred by the insured person his rights against the insurer under the contract in respect of the liability shall, notwithstanding anything to the contrary in any provision of law, be transferred to and vest in the third party to whom the liability was so incurred. (2) Where an order for the administration of the estate of a deceased debtor is made according to the law of insolvency, then, if any debt provable in insolvency is owing by the deceased in respect of a liability to a third party against which he was insured under a contract of insurance in accordance with the provisions of this Chapter, the deceased debtor's rights against the insurer in respect of that liability shall, notwithstanding anything to the contrary in any provision of law, be transferred to and vest in the person to whom the debt is owing. (3) Any condition in a policy issued for the purposes of this Chapter purporting, either directly or indirectly, to avoid the policy or to alter the rights of the parties thereunder upon the happening to the insured person of any of the events specified in clause (a) or clause (b) of sub-section (1) or upon the making of an order for the administration of the estate of a deceased debtor according to the law of insolvency, shall be of no effect. (4) Upon a transfer under sub-section (1) or sub-section (2), the insurer shall be under the same liability to the third party as he would have been to the insured person, but- (a) if the liability of the insurer to the insured person exceeds the liability of the insured person to the third party, nothing in this Chapter shall affect the rights of the insured person against the insurer in respect of the excess amount; and (b) if the liability of the insurer to the insured person is less than the liability of the insured person to the third party, nothing in this Chapter shall affect the rights of the third party against the insured person in respect of the balance amount.",vehicle
What is the law regarding settlement between insurers and insured person,As per Section 153 (1) No settlement made by an insurer in respect of any claim which might be made by a third party in respect of any liability of the nature referred to in clause (b) of sub-section (1) of section 147 shall be valid unless such third party is a party to the settlement.,vehicle
Can insurance policy be transferred,"Yes, As per Section157 of the Act insurance policy can be transferred.",vehicle
What is the requirement of producing certificates before the police officer,"As per Section 158 of the Act (1) Any person driving a motor vehicle in any public place shall, on being so required by a police officer in uniform authorised in this behalf by the State Government, produce- (a) the certificate of insurance; (b) the certificate of registration; (c) the pollution under control certificate; (d) the driving licence; (e) in the case of a transport vehicle, also the certificate of fitness referred to in section 56, and the permit; and (f) any certificate or authorisation of exemption that has been granted under this Act, relating to the use of the vehicle.",vehicle
What is the law regarding giving of information about accident,"As per Section 159 of the the police officer shall, during the investigation, prepare an accident information report to facilitate the settlement of claim in such form and manner, within three months and containing such particulars and submit the same to the Claims Tribunal and such other agency as may be prescribed.",vehicle
What is the duty to furnish particulars of vehicle involved in the accident,"As per Section 160 registering authority or the officer-in-charge of a police station shall, if so required by a person who alleges that he is entitled to claim compensation in respect of an accident arising out of the use of a motor vehicle, or if so required by an insurer against whom a claim has been made in respect of any motor vehicle, furnish to that person or to that insurer, as the case may be, on payment of the prescribed fee, any information at the disposal of the said authority or the said police officer relating to the identification marks and other particulars of the vehicle and the name and address of the person who was using the vehicle at the time of the accident or was injured by it and the property, if any, damaged in such form and within such time as the Central Government may prescribe.",vehicle
What is the Special provisions as to compensation in case of hit and run motor accident,"As per Section 161 (2) Subject to the provisions of this Act and the scheme made under sub-section (3), there shall be paid as compensation,-(a) in respect of the death of any person resulting from a hit and run motor accident, a fixed sum of two lakh rupees or such higher amount as may be prescribed by the Central Government; (b) in respect of grievous hurt to any person resulting from a hit and run motor accident, a fixed sum of fifty thousand rupees or such higher amount as may be prescribed by the Central Government.",vehicle
"What is the law regarding Payment of compensation in case of death or grievous hurt, etc","As per Section 164 (1) the owner of the motor vehicle or the authorised insurer shall be liable to pay in the case of death or grievous hurt due to any accident arising out of the use of motor vehicle, a compensation, of a sum of five lakh rupees in case of death or of two and a half lakh rupees in case of grievous hurt to the legal heirs or the victim, as the case may be. (2) In any claim for compensation under sub-section (1), the claimant shall not be required to plead or establish that the death or grievous hurt in respect of which the claim has been made was due to any wrongful act or neglect or default of the owner of the vehicle or of the vehicle concerned or of any other person. (3) Where, in respect of death or grievous hurt due to an accident arising out of the use of motor vehicle, compensation has been paid under any other law for the time being in force, such amount of compensation shall be reduced from the amount of compensation payable under this section.",vehicle
What is the law regarding Motor Vehicle Accident Fund,As per Section 164B (1) of the Act the Central Government shall constitute a Fund to be called the Motor Vehicle Accident Fund,vehicle
